Index	Name	PreIndex	PostIndex	SceneID	RequireLevel	RequireMissionID	BossAtlasID	BossSpriteName	AtlasID	SpriteName	LuckTC_3_0	LuckTC_3_1	LuckTC_3_2	LevelNeed_3_0	LevelNeed_3_1	LevelNeed_3_2	EnterPos	EnterDir	RoundNum	GroupID_6_0	GroupPos_6_0	GroupDir_6_0	GroupScene_6_0	GroupID_6_1	GroupPos_6_1	GroupDir_6_1	GroupScene_6_1	GroupID_6_2	GroupPos_6_2	GroupDir_6_2	GroupScene_6_2	GroupID_6_3	GroupPos_6_3	GroupDir_6_3	GroupScene_6_3	GroupID_6_4	GroupPos_6_4	GroupDir_6_4	GroupScene_6_4	GroupID_6_5	GroupPos_6_5	GroupDir_6_5	GroupScene_6_5	RebornPos_3_0	RebornDir_3_0	RebornPos_3_1	RebornDir_3_1	RebornPos_3_2	RebornDir_3_2	RoadFlagID_3_0	RoadFlagPos_3_0	RoadFlagDir_3_0	RoadFlagID_3_1	RoadFlagPos_3_1	RoadFlagDir_3_1	RoadFlagID_3_2	RoadFlagPos_3_2	RoadFlagDir_3_2	CutSceneStart	CutScenePre_3_0	CutSceneSuf_3_0	CutScenePre_3_1	CutSceneSuf_3_1	CutScenePre_3_2	CutSceneSuf_3_2	EnterCameraPos	EnterCameraRot
36	五寒峰云岭峰	35	37	100541	1	0	0	0	1006	11000180	3010	3011	3012	32	35	38	48.87553;21.80004;14.0932;	0	3	106	46.55407;20.98365;28.13331;	-197.0988	101640	107	40.66264;19.9984;40.87825;	-172.8553	101640	108	54.78619;18.99988;53.73643;	-139.1556	101640	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	47.87684;21.91121;18.568;	0	45.48512;20.14037;32.61321;	-30.06195	48.69373;18.99988;49.68822;	60.99615	0	51.73038;22.03075;19.40283;	-7.459167	0	47.07674;20.50416;31.32498;	-24.72791	0	42.94643;19.99939;39.27293;	0	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
37	五寒峰九顶峰	36	38	100540	1	0	0	0	1006	11000180	3010	3011	3012	33	36	39	46.75443;13.00079;92.82364;	75.34619	3	109	63.03616;11.16553;91.13686;	-56.16583	101640	110	62.70441;10.05132;73.56573;	0	101640	111	61.24664;10.00981;50.71765;	-23.99713	101640	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	49.80816;13.00079;94.38223;	103.6563	65.68075;10.15736;86.66412;	173.8479	54.56873;10.09755;65.77287;	147.1597	0	57.63362;12.58082;90.34022;	111.5914	0	61.5207;11.03934;81.83105;	180.9011	0	53.87126;10.22879;73.83295;	202.3358	0	0	0	0	0	0	0	-14.83451;8.44;6.802963;	27.34;114.6358;0;
38	五寒峰白玉峰	37	39	100541	1	0	0	11000871	1006	11000180	3010	3011	3012	34	37	40	31.33512;18.99988;50.38292;	-49.9563	3	112	22.88148;17.26871;55.83413;	108.7847	101640	113	15.90235;11.04503;45.85845;	-46.40424	101640	114	22.0999;9.178189;27.47379;	-9.756531	101640	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	28.8709;18.99988;52.59757;	-59.24786	12.16055;14.66454;52.64049;	-207.8422	19.51896;9.058277;36.7771;	135.5912	0	28.72691;18.98304;53.79597;	-62.82141	0	15.05921;15.15738;58.68034;	-150.5187	0	16.21703;9.934153;38.75839;	158.9235	0	0	0	0	0	0	0	16.01789;8.44;-3.125938;	27.34;281.0425;0;
39	火云洞双溶洞	38	40	100514	1	0	0	0	1006	11000180	3010	3011	3012	35	38	41	57.80772;7.974992;76.54333;	-172.4913	3	115	53.99896;8.076846;55.98033;	3.915695	101615	116	15.14008;11.03995;57.59771;	79.14957	101615	117	20.77386;16.99994;108.2713;	192.0471	101615	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	54.31379;7.999756;66.32011;	201.7894	29.33391;10.73701;57.96074;	-88.34979	20.96395;13.72718;92.55661;	0	0	54.18331;7.992371;73.49695;	-179.7739	0	48.07771;8.088734;59.73862;	-96.38904	0	22.89596;10.99982;76.19801;	0	0	0	0	0	0	0	0	0.5926704;8.44;16.30925;	27.34;182.0811;0;
40	火云洞坡立洞	39	41	100515	1	0	0	0	1006	11000180	3010	3011	3012	36	39	42	78.08044;8.049574;11.83185;	0	3	118	75.99791;7.701058;30.80644;	-201.9045	101615	119	57.26661;8.297361;48.48797;	186.9517	101615	120	60.28356;8.052198;81.72776;	172.6322	101615	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	77.95084;7.701058;17.92252;	0	63.02843;7.701058;31.75211;	-67.79926	59.24148;7.999756;67.84145;	0	0	80.08289;7.701058;16.93752;	0	0	60.78717;7.816597;35.05322;	0	0	62.22916;7.999756;63.84618;	-12.87787	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
41	火云洞飞虎洞	40	42	100516	1	0	0	0	1006	11000180	3010	3011	3012	37	40	43	60.40028;7.999756;81.01559;	180.3174	3	121	73.05061;10.4199;57.08873;	-96.42035	101615	122	109.4389;7.999756;73.68065;	177.2782	101615	123	104.9719;16.34146;105.188;	177.7087	101615	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	60.20274;7.999756;56.17176;	100.1107	107.6376;7.905575;59.64851;	2.506836	104.9991;11.14451;95.49049;	0	0	51.14713;8.019216;57.8243;	77.8006	0	100.8975;7.999756;62.32365;	62.14673	0	111.1129;10.99541;86.34631;	-33.41797	0	0	0	0	0	0	0	-16.31468;8.44;0.4174919;	27.34;91.46594;0;
42	火云洞大霄洞	41	43	100517	1	0	0	0	1006	11000180	3010	3011	3012	38	41	44	45.38202;6.000122;11.71292;	-77.71191	3	124	20.65233;6.115456;11.53294;	83.69943	101618	125	29.86414;6.000122;32.18145;	-110.5107	101618	126	18.32471;6.000122;50.78228;	80.0119	101618	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	34.55074;6.032167;11.08829;	-96.53558	18.97612;6.000122;25.42288;	33.29848	31.04237;6.000122;50.13366;	-83.03656	0	36.89115;6.032167;14.15928;	-95.79504	0	23.00219;6.130866;21.35586;	11.7115	0	46.9708;6.000122;46.24056;	-65.36304	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
43	火云洞冠岩洞	42	44	100518	1	0	0	0	1006	11000180	3010	3011	3012	39	42	45	61.58674;27.05968;96.1266;	-139.7118	3	127	45.30527;24.47607;79.80695;	37.67223	101618	128	26.59173;18.99389;60.20101;	34.29672	101618	129	53.77252;10.51621;30.51633;	-53.34839	101618	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	53.22355;24.47607;88.5464;	-126.1617	36.75722;20.30656;70.73866;	-125.6848	44.83356;10.51621;40.65815;	131.3071	0	53.6664;24.47607;92.15305;	-142.8685	0	39.07041;24.47607;77.007;	-124.7138	0	28.50101;18.78695;52.84152;	139.5709	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
44	火云洞三眼洞	43	45	100519	1	0	0	11000874	1006	11000180	3010	3011	3012	40	43	46	33.89369;14.99891;80.09935;	-208.6528	3	130	43.05309;15.00201;63.02174;	-22.43481	101618	131	77.99677;15.04751;49.08682;	-93.96893	101618	132	100.0694;12.00024;84.58959;	-177.6273	101618	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	39.43489;15.00031;74.92045;	175.9768	62.81586;12.18758;46.94306;	78.89296	95.86111;12.15253;71.36139;	8.667023	0	34.95927;15.00497;71.48158;	133.3945	0	49.71027;14.70751;50.76253;	95.01659	0	94.05575;13.62941;58.81419;	11.55765	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
45	撼天塔下层1	44	46	100544	1	0	0	0	1006	11000180	3013	3014	3015	40	43	46	95.84997;19.99939;65.89114;	-172.6373	3	133	86.76338;19.99939;31.84193;	57.24374	101645	134	51.82719;19.99939;31.54123;	82.75235	101645	135	49.76004;20.04544;78.28952;	-180.498	101645	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	93.2823;19.99939;40.96999;	-165.4606	62.26746;19.99939;31.24075;	-84.88202	47.45461;20.04544;63.12155;	4.212784	0	90.4371;19.99939;47.13478;	-183.5677	0	79.10528;19.99939;35.60884;	-78.71252	0	55.54585;19.99939;55.45853;	29.7476	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
46	撼天塔下层2	45	47	100545	1	0	0	0	1006	11000180	3013	3014	3015	41	44	47	76.75619;40.23012;81.39449;	-87.42017	3	136	45.49863;40.00031;80.26305;	70.05476	101645	137	27.54926;40.00031;53.86255;	0	101645	138	65.65828;40.1153;33.47161;	-90.25128	101645	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	53.7666;40.23012;80.60928;	-84.45673	27.34536;40.00031;62.35785;	-184.2343	54.54639;40.10343;34.03735;	108.0835	0	64.89294;40.23012;84.12267;	-90.30286	0	34.94057;40.00031;71.61724;	-156.6377	0	32.44794;40.00031;39.68197;	76.92717	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
47	撼天塔下层3	46	48	100546	1	0	0	0	1006	11000180	3013	3014	3015	42	45	48	34.45754;40.19487;34.25366;	85.27711	3	139	65.63699;40.00031;35.82595;	-95.32007	101645	140	88.70448;40.19487;56.88699;	-181.8922	101645	141	69.42146;40.00031;105.6828;	-181.9984	101645	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	55.43821;40.19487;35.47368;	85.55814	89.97791;40.00031;45.43101;	-3.107346	69.85411;40.00031;93.64479;	0	0	44.40186;40.19487;31.20158;	84.52943	0	82.12114;40.00031;32.00506;	7.910034	0	82.19985;40.19487;72.67293;	-23.48718	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
48	撼天塔下层4	47	49	100546	1	0	0	0	1006	11000180	3013	3014	3015	43	46	49	70.75066;40.00031;84.89729;	185.1664	3	142	88.43919;40.19487;58.7701;	0	101645	143	66.59508;40.00031;34.99628;	109.1837	101645	144	33.08688;40.19487;33.79845;	94.44936	101645	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	78.44009;40.19487;73.29964;	140.6799	79.22903;40.00031;40.72605;	-139.0098	47.24752;40.19487;33.09933;	-86.7193	0	75.28555;40.19487;67.3261;	108.7874	0	76.20104;40.00031;43.04615;	-129.9062	0	60.08299;40.17182;38.25015;	-137.1288	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
49	撼天塔下层5	48	50	100547	1	0	0	11000864	1006	11000180	3013	3014	3015	44	47	50	65.16938;40.00031;110.598;	184.0656	3	145	65.7636;40.00031;95.624;	-90	101645	146	65.93337;40.31027;68.84978;	-4.863647	101645	147	65.87028;40.186;27.45644;	0	101645	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	66.53819;40.00031;104.6985;	189.7551	65.60714;40.31027;77.46233;	-188.032	66.59401;40.00031;36.1758;	181.3096	0	62.20723;40.00031;101.7582;	176.1946	0	63.19207;40.02311;87.6853;	159.9355	0	62.61469;40.00031;48.47758;	186.5209	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
50	撼天塔上层1	49	51	100548	1	0	0	0	1006	11000180	3013	3014	3015	44	47	50	48.55911;38.58242;54.8294;	42.50575	3	148	57.11472;38.58242;64.58646;	-137.607	101649	149	65.31937;38.58242;73.57163;	-137.2686	101649	150	80.21017;42.74092;86.94299;	-142.4532	101649	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	25.75812;38.58242;59.55927;	39.67084	58.92035;38.58242;67.00488;	48.23688	72.64788;38.58242;79.76598;	40.48842	0	52.57335;38.58242;53.55716;	37.86433	0	66.44507;38.58242;68.1311;	37.55533	0	74.58862;38.58242;76.22208;	25.75812	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
51	撼天塔上层2	50	52	100549	1	0	0	0	1006	11000180	3013	3014	3015	45	48	51	58.35821;52.63837;89.76128;	-142.7758	3	151	45.79283;52.63837;76.11318;	40.10648	101649	152	61.46165;52.63837;60.32318;	-15.82129	101649	153	78.66463;52.63837;42.46981;	-42.17297	101649	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	54.8171;52.63837;84.52255;	-131.3288	54.83767;52.63837;67.23816;	-202.5281	72.15199;52.63837;49.17065;	138.0692	0	56.736;52.63837;91.26955;	-132.5029	0	47.21832;52.63837;71.51861;	-219.5728	0	62.6509;52.63837;54.2134;	136.4547	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
52	撼天塔上层3	51	53	100550	1	0	0	0	1006	11000180	3013	3014	3015	46	49	52	98.53507;63.52625;64.61003;	-42.74634	3	154	81.69936;63.52625;83.92352;	138.6885	101649	155	56.74559;63.52625;58.9268;	49.44205	101649	156	29.5098;63.52625;63.17308;	132.6745	101649	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	88.85973;63.52625;74.63506;	-33.58527	64.69518;63.52625;66.35152;	-131.7335	35.88674;63.52625;57.81459;	-57.85913	0	96.36198;63.52625;70.47441;	-48.59668	0	64.77584;63.52625;70.56118;	-150.3745	0	46.14877;63.52625;52.58897;	-58.13818	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
53	撼天塔上层4	52	54	100551	1	0	0	0	1006	11000180	3013	3014	3015	47	50	53	67.15565;52.47775;49.17979;	49.54774	3	157	79.59924;52.58331;61.81931;	-167.8674	101649	158	60.45805;56.28686;65.07592;	90.94443	101649	159	42.8348;52.49314;61.43589;	45.12045	101649	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	75.93513;52.47956;53.42143;	27.84947	71.53284;56.28686;65.67004;	-74.29102	43.77978;52.49115;71.24197;	-191.4053	0	80.60709;52.41544;51.73907;	16.56796	0	77.71533;52.50068;68.62495;	-106.9776	0	53.11883;56.28686;68.3214;	-100.9452	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
54	撼天塔上层5	53	55	100552	1	0	0	0	1006	11000180	3013	3014	3015	48	51	54	31.29457;67.97825;66.53126;	85.98294	3	160	53.91876;67.97825;81.36875;	-141.2673	101653	161	79.51266;67.97825;64.45332;	-2.767227	101653	162	52.65372;67.97825;50.42849;	104.6228	101653	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	45.86385;67.97825;74.74857;	35.43204	79.14738;67.97825;74.63532;	-168.9598	61.50334;67.97825;47.19712;	-70.38623	0	40.0436;67.97825;70.10462;	24.17566	0	62.26738;67.97825;81.54862;	106.5879	0	74.23875;67.97825;57.65422;	-106.1842	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
55	撼天塔上层6	54	56	100553	1	0	0	0	1006	11000180	3013	3014	3015	48	51	54	60.34676;104.8212;18.9223;	-6.386414	3	163	59.31865;104.8747;38.69334;	-180.8508	101653	164	59.6649;104.8212;63.36627;	178.1729	101653	165	59.83536;104.8212;89.98051;	171.6512	101653	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	59.09825;104.8557;30.89384;	0	59.58537;104.8212;55.21579;	0	59.71256;104.8212;83.62241;	0	0	63.56045;104.8212;24.82852;	0	0	62.17064;104.8212;52.3426;	0	0	62.26582;104.8212;64.1437;	-4.28595	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
56	撼天塔上层7	55	57	100554	1	0	0	0	1006	11000180	3013	3014	3015	49	52	55	57.46821;90.34576;82.70947;	130.1558	3	166	48.66146;90.48564;55.01626;	19.6494	101653	167	66.64503;94.35256;37.22342;	-45.59406	101653	168	84.90302;98.37249;56.59399;	-140.5457	101653	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	55.2477;90.32379;60.80941;	-130.4878	60.5314;91.96127;43.506;	117.1425	79.24375;97.14287;50.9171;	40.43201	0	61.49725;90.55154;72.42964;	-157.1478	0	49.95114;90.28025;49.40661;	124.8857	0	71.69311;94.42942;38.809;	34.03221	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
57	撼天塔上层8	56	58	100555	1	0	0	11000869	1006	11000180	3013	3014	3015	50	53	56	33.59266;67.5592;70.5473;	-208.5992	3	169	69.94022;73.25519;46.11314;	-99.63647	101653	170	81.26381;73.11472;66.21757;	-183.7527	101653	171	95.00628;73.30003;92.43198;	-147.1352	101653	0	0;0;0;	0	0	0	0;0;0;	0	0	0	0;0;0;	0	0	62.71278;72.19112;45.70626;	85.94376	78.49567;73.72646;57.33879;	-351.8464	91.93737;73.29444;83.36052;	18.56871	0	37.12418;67.58686;58.71835;	116.5244	0	81.12906;74.36407;54.01995;	0	0	90.20369;73.45512;74.60892;	-1.22406	0	0	0	0	0	0	0	0;8.44;-16.32;	27.34;0;0;
